Matricule;Boat_code;Date;Fishing_mode;latitude;longitude;Quadrant;"Code
FAO";Length;Resistance ;Reactance;Comments
SKJ_20210504_1;891;04/05/2021;FS;318;5326;2;SKJ;62;81,1;45,9;calee pure listao
SKJ_20210504_2;891;04/05/2021;FS;318;5326;2;SKJ;70;59,7;43,7;calee pure listao
SKJ_20210504_3;891;04/05/2021;FS;318;5326;2;SKJ;64;73,7;46,5;calee pure listao
SKJ_20210504_4;891;04/05/2021;FS;318;5326;2;SKJ;66;58,6;42,7;calee pure listao
SKJ_20210504_5;891;04/05/2021;FS;318;5326;2;SKJ;60;55,3;42,6;calee pure listao
SKJ_20210504_6;891;04/05/2021;FS;318;5326;2;SKJ;63;122,4;28,7;calee pure listao
SKJ_20210504_7;891;04/05/2021;FS;318;5326;2;SKJ;66;64,3;52,2;calee pure listao
SKJ_20210504_8;891;04/05/2021;FS;318;5326;2;SKJ;64;58,1;45,7;calee pure listao
SKJ_20210504_9;891;04/05/2021;FS;318;5326;2;SKJ;62;55,4;39,3;calee pure listao
SKJ_20210504_10;891;04/05/2021;FS;318;5326;2;SKJ;61;55,5;32,2;calee pure listao
YFT_20210513_1;891;13/05/2021;FAD;135;5411;1;YFT;47;77,5;41,8;
YFT_20210513_2;891;13/05/2021;FAD;135;5411;1;YFT;46;69;34,4;
YFT_20210513_3;891;13/05/2021;FAD;135;5411;1;YFT;51;72,4;37,6;
YFT_20210513_4;891;13/05/2021;FAD;135;5411;1;YFT;49;86,7;37,3;
YFT_20210513_5;891;13/05/2021;FAD;135;5411;1;YFT;48;66,1;36,4;
YFT_20210513_6;891;13/05/2021;FAD;135;5411;1;YFT;46;60,1;36,6;
YFT_20210513_7;891;13/05/2021;FAD;135;5411;1;YFT;47;54,4;32,8;
YFT_20210513_8;891;13/05/2021;FAD;135;5411;1;YFT;50;62,9;40,9;
YFT_20210513_9;891;13/05/2021;FAD;135;5411;1;YFT;49;55,5;34,6;
YFT_20210513_10;891;13/05/2021;FAD;135;5411;1;YFT;50;62,7;43,1;
YFT_20210513_11;891;13/05/2021;FAD;135;5411;1;YFT;55;65,3;43,3;
YFT_20210513_12;891;13/05/2021;FAD;135;5411;1;YFT;43;71,2;46,9;
SKJ_20210517_1;891;17/05/2021;FAD;10;4852;1;SKJ;46;65;39,4;
SKJ_20210517_2;891;17/05/2021;FAD;10;4852;1;SKJ;62;66,3;46;
SKJ_20210517_3;891;17/05/2021;FAD;10;4852;1;SKJ;59;61,6;42,7;
SKJ_20210517_4;891;17/05/2021;FAD;10;4852;1;SKJ;61;59,9;35,4;
SKJ_20210517_5;891;17/05/2021;FAD;10;4852;1;SKJ;49;66,3;46,3;
SKJ_20210517_6;891;17/05/2021;FAD;10;4852;1;SKJ;55;66,5;44,6;
SKJ_20210517_7;891;17/05/2021;FAD;10;4852;1;SKJ;50;62,1;42,3;
SKJ_20210517_8;891;17/05/2021;FAD;10;4852;1;SKJ;51;71,3;50,2;
SKJ_20210517_9;891;17/05/2021;FAD;10;4852;1;SKJ;46;68,4;45,6;
SKJ_20210517_10;891;17/05/2021;FAD;10;4852;1;SKJ;48;64,9;43,7;
SKJ_20210517_11;891;17/05/2021;FAD;10;4852;1;SKJ;49;61,9;43,9;
SKJ_20210517_12;891;17/05/2021;FAD;10;4852;1;SKJ;47;70,8;51,1;
SKJ_20210517_13;891;17/05/2021;FAD;10;4852;1;SKJ;60;61;43;
SKJ_20210517_14;891;17/05/2021;FAD;10;4852;1;SKJ;49;64,4;46,8;
SKJ_20210517_15;891;17/05/2021;FAD;10;4852;1;SKJ;45;63,5;46,2;
SKJ_20210517_16;891;17/05/2021;FAD;10;4852;1;SKJ;50;65,3;41,8;
SKJ_20210517_17;891;17/05/2021;FAD;10;4852;1;SKJ;58;56,1;37,4;
YFT_20210521_1;891;21/05/2021;FAD;49;5321;2;YFT;54;61,1;39;
YFT_20210521_2;891;21/05/2021;FAD;49;5321;2;YFT;53;67,6;42,6;
YFT_20210521_3;891;21/05/2021;FAD;49;5321;2;YFT;75;63;38,2;
YFT_20210521_4;891;21/05/2021;FAD;49;5321;2;YFT;35;54,7;51,2;
YFT_20210521_5;891;21/05/2021;FAD;49;5321;2;YFT;46;63,2;42,4;
YFT_20210521_6;891;21/05/2021;FAD;49;5321;2;YFT;52;68,7;39,8;
YFT_20210521_7;891;21/05/2021;FAD;49;5321;2;YFT;46;63;34,2;
YFT_20210521_8;891;21/05/2021;FAD;49;5321;2;YFT;47;28,5;48,1;
YFT_20210521_9;891;21/05/2021;FAD;49;5321;2;YFT;48;62,1;41,9;
YFT_20210521_10;891;21/05/2021;FAD;49;5321;2;YFT;56;62,2;42,3;
YFT_20210521_11;891;21/05/2021;FAD;49;5321;2;YFT;43;68;42,2;
YFT_20210521_12;891;21/05/2021;FAD;49;5321;2;YFT;49;68,6;46;
YFT_20210521_13;891;21/05/2021;FAD;49;5321;2;YFT;48;82;42,6;
YFT_20210521_14;891;21/05/2021;FAD;49;5321;2;YFT;46;59,8;39,6;
YFT_20210521_15;891;21/05/2021;FAD;49;5321;2;YFT;41;65,4;37,4;
YFT_20210521_16;891;21/05/2021;FAD;49;5321;2;YFT;39;34,2;45,6;
SKJ_20210611_1;891;11/06/2021;FS;22;5236;1;SKJ;63;62,6;41,2;calee pure listao
SKJ_20210611_2;891;11/06/2021;FS;22;5236;1;SKJ;65;57;38,6;calee pure listao
SKJ_20210611_3;891;11/06/2021;FS;22;5236;1;SKJ;63;60,4;36,4;calee pure listao
SKJ_20210611_4;891;11/06/2021;FS;22;5236;1;SKJ;62;57,3;37,5;calee pure listao
SKJ_20210611_5;891;11/06/2021;FS;22;5236;1;SKJ;69;60,8;35,1;calee pure listao
SKJ_20210611_6;891;11/06/2021;FS;22;5236;1;SKJ;62;59,8;35,9;calee pure listao
SKJ_20210611_7;891;11/06/2021;FS;22;5236;1;SKJ;63;60,7;36,4;calee pure listao
SKJ_20210611_8;891;11/06/2021;FS;22;5236;1;SKJ;62;49,4;27,7;calee pure listao
SKJ_20210611_9;891;11/06/2021;FS;22;5236;1;SKJ;64;62,6;36,5;calee pure listao
SKJ_20210611_10;891;11/06/2021;FS;22;5236;1;SKJ;67;61,2;32,8;calee pure listao
SKJ_20210611_11;891;11/06/2021;FS;22;5236;1;SKJ;62;53,7;34,2;calee pure listao
SKJ_20210611_12;891;11/06/2021;FS;22;5236;1;SKJ;69;50;28,9;calee pure listao
SKJ_20210611_13;891;11/06/2021;FS;22;5236;1;SKJ;60;53,3;36,1;calee pure listao
SKJ_20210611_14;891;11/06/2021;FS;22;5236;1;SKJ;64;62;38,8;calee pure listao
SKJ_20210611_15;891;11/06/2021;FS;22;5236;1;SKJ;71;53,1;30,8;calee pure listao
SKJ_20210611_16;891;11/06/2021;FS;22;5236;1;SKJ;68;62,8;31,6;calee pure listao
SKJ_20210611_17;891;11/06/2021;FS;22;5236;1;SKJ;62;53,9;35,9;calee pure listao
SKJ_20210611_18;891;11/06/2021;FS;22;5236;1;SKJ;60;58,6;40,3;calee pure listao
SKJ_20210611_19;891;11/06/2021;FS;22;5236;1;SKJ;60;55,6;37,7;calee pure listao
SKJ_20210616_1;891;06/06/2021;FAD;208;5622;1;SKJ;60;57,1;43,3;
SKJ_20210616_2;891;06/06/2021;FAD;208;5622;1;SKJ;56;62,8;40,6;
SKJ_20210616_3;891;06/06/2021;FAD;208;5622;1;SKJ;50;41,9;43,5;
SKJ_20210616_4;891;06/06/2021;FAD;208;5622;1;SKJ;54;54,4;38,4;
SKJ_20210616_5;891;06/06/2021;FAD;208;5622;1;SKJ;52;61,6;40,2;
SKJ_20210616_6;891;06/06/2021;FAD;208;5622;1;SKJ;61;86,4;24;
SKJ_20210616_7;891;06/06/2021;FAD;208;5622;1;SKJ;62;62,1;40,8;
SKJ_20210616_8;891;06/06/2021;FAD;208;5622;1;SKJ;57;57,8;33,7;
SKJ_20210616_9;891;06/06/2021;FAD;208;5622;1;SKJ;51;56,8;37,3;
SKJ_20210616_10;891;06/06/2021;FAD;208;5622;1;SKJ;56;59,9;40,2;
SKJ_20210616_11;891;06/06/2021;FAD;208;5622;1;SKJ;59;53,5;42,6;
SKJ_20210616_12;891;06/06/2021;FAD;208;5622;1;SKJ;59;57,7;39,5;
SKJ_20210616_13;891;06/06/2021;FAD;208;5622;1;SKJ;50;51,8;59,3;
SKJ_20210616_14;891;06/06/2021;FAD;208;5622;1;SKJ;54;55,5;40,2;
SKJ_20210616_15;891;06/06/2021;FAD;208;5622;1;SKJ;53;61,3;32,6;
SKJ_20210616_16;891;06/06/2021;FAD;208;5622;1;SKJ;53;65,1;43,3;
SKJ_20210616_17;891;06/06/2021;FAD;208;5622;1;SKJ;51;57,5;33,6;
SKJ_20210616_18;891;06/06/2021;FAD;208;5622;1;SKJ;53;55,2;14,6;
SKJ_20210616_19;891;06/06/2021;FAD;208;5622;1;SKJ;51;61,8;37,8;
SKJ_20210616_20;891;06/06/2021;FAD;208;5622;1;SKJ;55;69,3;28,4;
YFT_20210625_1;891;25/06/2021;FAD;124;5007;1;YFT;51;63,3;38,5;
YFT_20210625_2;891;25/06/2021;FAD;124;5007;1;YFT;53;68;38,6;
YFT_20210625_3;891;25/06/2021;FAD;124;5007;1;YFT;49;67,7;46,6;
YFT_20210625_4;891;25/06/2021;FAD;124;5007;1;YFT;51;66;36,2;
YFT_20210625_5;891;25/06/2021;FAD;124;5007;1;YFT;56;66,8;36,3;
YFT_20210625_6;891;25/06/2021;FAD;124;5007;1;YFT;51;68,3;35;
YFT_20210625_7;891;25/06/2021;FAD;124;5007;1;YFT;57;63,7;31,8;
