"year";"timescale";"x";"y";"NFad";"se_NFad";"Log_over_Fad";"NLog";"se_NLog";"NFob";"se_NFob"
2020;1;25;-35;0,23;0;NA;NA;NA;NA;NA
2020;1;25;-33;0,06;0;NA;NA;NA;NA;NA
2020;1;27;-35;0,03;0;NA;NA;NA;NA;NA
2020;1;27;-33;0,13;0;NA;NA;NA;NA;NA
2020;1;29;-33;0,03;0;NA;NA;NA;NA;NA
2020;1;31;-35;0,03;0;NA;NA;NA;NA;NA
2020;1;31;-33;0,22;0;NA;NA;NA;NA;NA
2020;1;31;-31;0,64;0;NA;NA;NA;NA;NA
2020;1;31;-29;0,32;0,133040964464278;NA;NA;NA;NA;NA
2020;1;33;-33;0,28;0;NA;NA;NA;NA;NA
2020;1;33;-31;0,42;0;NA;NA;NA;NA;NA
2020;1;33;-29;0,7;0,133040964464278;NA;NA;NA;NA;NA
2020;1;33;-27;2,68;0,532163857857111;NA;NA;NA;NA;NA
2020;1;33;-25;0,58;0,133040964464278;NA;NA;NA;NA;NA
2020;1;35;-33;0,13;0;NA;NA;NA;NA;NA
2020;1;35;-31;0,29;0;NA;NA;NA;NA;NA
2020;1;35;-29;0,25;0;NA;NA;NA;NA;NA
2020;1;35;-27;2,07;0,266081928928555;NA;NA;NA;NA;NA
2020;1;35;-25;4,45;0,665204822321388;NA;NA;NA;NA;NA
2020;1;35;-23;2,42;0,399122893392833;NA;NA;NA;NA;NA
2020;1;35;-21;3,32;0,532163857857111;NA;NA;NA;NA;NA
2020;1;35;-19;1,74;0,133040964464278;NA;NA;NA;NA;NA
2020;1;37;-33;0,16;0;NA;NA;NA;NA;NA
2020;1;37;-31;1,07;0,266081928928555;NA;NA;NA;NA;NA
2020;1;37;-29;0,58;0;NA;NA;NA;NA;NA
2020;1;37;-27;0,74;0,0665204822321389;NA;NA;NA;NA;NA
2020;1;37;-25;8;1,26388916241064;NA;NA;NA;NA;NA
2020;1;37;-23;8,35;0,997807233482083;NA;NA;NA;NA;NA
2020;1;37;-21;7,68;0,59868434008925;NA;NA;NA;NA;NA
2020;1;37;-19;9,06;0,931286751249944;NA;NA;NA;NA;NA
2020;1;37;-17;0,74;0,133040964464278;NA;NA;NA;NA;NA
2020;1;39;-31;0,25;0;NA;NA;NA;NA;NA
2020;1;39;-29;0,32;0;NA;NA;NA;NA;NA
2020;1;39;-27;5,43;0,665204822321388;NA;NA;NA;NA;NA
2020;1;39;-25;6,35;0,931286751249944;NA;NA;NA;NA;NA
2020;1;39;-23;5,81;0,931286751249944;NA;NA;NA;NA;NA
2020;1;39;-21;7,22;0,997807233482083;NA;NA;NA;NA;NA
2020;1;39;-19;9,55;1,1973686801785;NA;NA;NA;NA;NA
2020;1;39;-17;4,62;0,665204822321388;NA;NA;NA;NA;NA
2020;1;39;-11;0,03;0;NA;NA;NA;NA;NA
2020;1;39;-9;3,38;0,59868434008925;NA;NA;NA;NA;NA
2020;1;39;-7;1,39;0,266081928928555;NA;NA;NA;NA;NA
2020;1;39;-5;6,36;0,399122893392833;NA;NA;NA;NA;NA
2020;1;39;-3;0,9;0,133040964464278;NA;NA;NA;NA;NA
2020;1;41;-27;3,33;0,332602411160694;NA;NA;NA;NA;NA
2020;1;41;-25;7,46;0,731725304553527;NA;NA;NA;NA;NA
2020;1;41;-23;7,42;1,06432771571422;NA;NA;NA;NA;NA
2020;1;41;-21;11,68;1,13084819794636;NA;NA;NA;NA;NA
2020;1;41;-19;10,42;1,26388916241064;NA;NA;NA;NA;NA
2020;1;41;-17;12,74;1,59649157357133;NA;NA;NA;NA;NA
2020;1;41;-15;16,06;2,52777832482128;NA;NA;NA;NA;NA
2020;1;41;-13;21,48;2,92690121821411;NA;NA;NA;NA;NA
2020;1;41;-11;47,59;6,18640484758891;NA;NA;NA;NA;NA
2020;1;41;-9;118,52;7,05117111660672;NA;NA;NA;NA;NA
2020;1;41;-7;63,48;4,72295423848186;NA;NA;NA;NA;NA
2020;1;41;-5;46,9;5,18859761410683;NA;NA;NA;NA;NA
2020;1;41;-3;40,77;4,39035182732116;NA;NA;NA;NA;NA
2020;1;41;-1;5,19;0,399122893392833;NA;NA;NA;NA;NA
2020;1;43;-27;0,99;0,133040964464278;NA;NA;NA;NA;NA
2020;1;43;-25;4,51;0,731725304553527;NA;NA;NA;NA;NA
2020;1;43;-23;3,36;0,665204822321388;NA;NA;NA;NA;NA
2020;1;43;-21;8,13;0,997807233482083;NA;NA;NA;NA;NA
